Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Keg,Krombacher,,2,CBS,Walk-In,Fri,2,No,,,,,,,,,,,,,,,,,,,
Keg,Guiness,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
Prep,Cinnamon Sticks,,0.5,Sysco,,Wed,2,Yes,,,,,,,,,,,,,,,,,,,
Keg ,Lagunitas IPA,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
Beer,Krombacher NA,,25,CBS,Bar,Thur,12,No,,,,,,,,,,,,,,,,,,,
Ice,Double Rocks,Fat Ice,4,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",300,Yes,$0.65,$65.00,,,,,,,,,,,,,,,,,
Spirits,Domain Du Canton,,5.5,Southern,Bar,Mon,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Creme De Menthe (Green),De Kuyper,3,Southern,Bar,Mon,6,Yes,$12.75,,,,,,,,,,,,,,,,,,
Spirits,Creme De Cacao,De Kuyper,3,Southern,Bar,Mon,6,Yes,$12.75,,,,,,,,,,,,,,,,,,
Spirits,Rumchata,,0.5,Breakthru,Bar,Wed,6,Yes,,,,,,,,,,,,,,,,,,,
Keg,Christmas Ale,Great Lakes,2,CBS,Walk-In,Thur,1,No,,,,,,,,,,,,,,,,,,,
Garnish,Habanero Crystals,,0.3,,,,1,Yes,,,,,,,,,,,,,,,,,,,
